key,key:project,key:userStory
assignation-01,project-15,user-story-15
assignation-02,project-01,user-story-01
assignation-03,project-01,user-story-02
assignation-04,project-01,user-story-03
assignation-05,project-01,user-story-04
assignation-06,project-01,user-story-05
assignation-07,project-01,user-story-16
assignation-08,project-01,user-story-17
assignation-09,project-01,user-story-18
assignation-10,project-01,user-story-19
assignation-11,project-01,user-story-20
assignation-12,project-02,user-story-01
assignation-13,project-02,user-story-02
assignation-14,project-02,user-story-03
assignation-15,project-03,user-story-17
assignation-16,project-03,user-story-16
assignation-17,project-04,user-story-20
assignation-18,project-05,user-story-18
assignation-19,project-16,user-story-01
assignation-20,project-17,user-story-02
assignation-21,project-18,user-story-03
assignation-22,project-16,user-story-04
assignation-23,project-17,user-story-05
assignation-24,project-18,user-story-19
assignation-25,project-06,user-story-06
assignation-26,project-06,user-story-07
assignation-27,project-06,user-story-08
assignation-28,project-06,user-story-09
assignation-29,project-06,user-story-10
assignation-30,project-06,user-story-11
assignation-31,project-06,user-story-12
assignation-32,project-06,user-story-13
assignation-33,project-06,user-story-14
assignation-34,project-06,user-story-21
assignation-35,project-06,user-story-22
assignation-36,project-06,user-story-23
assignation-37,project-07,user-story-06
assignation-38,project-08,user-story-07
assignation-39,project-09,user-story-08
assignation-40,project-10,user-story-09
assignation-41,project-11,user-story-10
assignation-42,project-12,user-story-11
assignation-43,project-13,user-story-12
assignation-44,project-14,user-story-13
assignation-45,project-14,user-story-14
assignation-46,project-14,user-story-21
assignation-47,project-14,user-story-22
assignation-48,project-14,user-story-23
assignation-49,project-19,user-story-24
