key,code,executionDate,type,correctiveActions,link,draftMode,key:project,key:auditor
code-audit-01,AAA-000,2000/01/01 00:00,STATIC,Corrective action,"http://www.example.com",true,project-01,auditor-01
code-audit-02,A-000,2010/01/1 01:00,DYNAMIC,Corrective action,"http://www.example2.com",false,project-02,auditor-01
code-audit-03,Z-000,2010/05/23 16:00,DYNAMIC,"Corrective action1, Corrective action2","http://www.example3.com",true,project-02,auditor-02
code-audit-04,ZZ-000,2010/05/23 16:00,DYNAMIC,"Corrective action1, Corrective action2","http://www.example4.com",true,project-02,auditor-02
code-audit-05,ZZZ-999,2010/05/23 16:00,DYNAMIC,"Corrective action1, Corrective action2","http://www.example5.com",true,project-02,auditor-02
code-audit-06,ABC-999,2000/01/01 00:00,DYNAMIC,"Corrective action1, Corrective action2","http://www.example6.com",true,project-02,auditor-01
code-audit-07,ABB-999,2000/01/01 00:01,DYNAMIC,"Corrective action1, Corrective action2","http://www.example7.com",true,project-02,auditor-01
code-audit-08,BBB-001,2022/07/29 23:59,DYNAMIC,"Corrective action1, Corrective action2","http://www.example8.com",true,project-02,auditor-01
code-audit-09,FBB-001,2022/07/29 23:58,DYNAMIC,"Corrective action1, Corrective action2","http://www.example9.com",true,project-02,auditor-01
code-audit-10,FBB-010,2022/07/29 23:58,DYNAMIC,a,"http://www.example10.com",true,project-02,auditor-01
code-audit-11,FBB-011,2022/07/29 23:58,DYNAMIC,ab,"http://www.example11.com",true,project-02,auditor-01
code-audit-12,ABC-123,2010/01/01 00:00,DYNAMIC,100 characters......................................................................................,"http://www.example12.com",true,project-02,auditor-02
code-audit-13,ZZZ-921,2022/07/29 22:59,DYNAMIC,99 characters......................................................................................,"http://www.example13.com",true,project-02,auditor-02
code-audit-14,AHF-921,2022/07/29 22:59,DYNAMIC,' or 'A'='A',"http://www.example14.com",true,project-02,auditor-02
code-audit-15,BBC-002,2005/03/15 10:00,STATIC,"Исправительное действие","http://www.example15.com",true,project-03,auditor-03
code-audit-16,XYZ-003,2012/08/12 12:00,DYNAMIC,"措施纠正","http://www.example16.com",true,project-04,auditor-04
code-audit-17,MNO-004,2008/11/11 11:00,DYNAMIC,"Acción correctiva importante","http://www.example17.com",true,project-05,auditor-05
code-audit-18,JKL-005,2015/07/07 07:00,STATIC,sdwdas;,"http://www.example18.com",true,project-06,auditor-06
