key,code,moment,startTimeDuration,finishTimeDuration,amount,type,contact,link,draftMode,key:project,key:sponsor
sponsorship-01,A-000,2019/01/01 00:00,2023/07/30 00:00,2025/08/30 01:00,1000000.00 EUR,FINANCIAL,wuani@acme.com,https://www.sponsorship1.es/,true,project-01,sponsor-01
sponsorship-02,A-001,2000/01/01 00:00,2023/07/30 00:00,2025/08/30 01:00,999999.99 USD,FINANCIAL,wuani@acme.com,https://www.sponsorship1.es/,true,project-01,sponsor-01
sponsorship-03,A-002,2005/01/01 00:00,2023/07/30 00:00,2025/08/30 01:00,10000.99 GBP,FINANCIAL,wuani@acme.com,https://www.sponsorship1.es/,true,project-01,sponsor-01
sponsorship-04,M-000,2019/01/01 00:00,2023/07/30 00:00,2025/08/30 01:00,0.1 EUR,FINANCIAL,wuani@acme.com,https://www.sponsorship1.es/,true,project-01,sponsor-01
sponsorship-05,M-323,2019/01/01 00:00,2023/07/30 00:00,2025/08/30 01:00,1.0 EUR,FINANCIAL,wuani@acme.com,https://www.sponsorship1.es/,true,project-01,sponsor-01
sponsorship-06,O-617,2019/01/01 00:00,2023/07/30 00:00,2025/08/30 01:00,0.01 EUR,FINANCIAL,wuani@acme.com,https://www.sponsorship1.es/,true,project-01,sponsor-01
sponsorship-07,R-864,2019/01/01 00:00,2023/07/30 00:00,2025/08/30 01:00,10000.00 EUR,FINANCIAL,wuani@acme.com,https://www.sponsorship1.es/,true,project-01,sponsor-01
sponsorship-08,Z-997,2019/01/01 00:00,2023/07/30 00:00,2025/08/30 01:00,10000.00 EUR,FINANCIAL,wuani@acme.com,https://www.sponsorship1.es/,true,project-01,sponsor-01
sponsorship-09,Z-998,2019/01/01 00:00,2023/07/30 00:00,2025/08/30 01:00,10000.00 EUR,FINANCIAL,wuani@acme.com,https://www.sponsorship1.es/,true,project-01,sponsor-01
sponsorship-10,Z-999,2019/01/01 00:00,2023/07/30 00:00,2025/08/30 01:00,10000.00 EUR,FINANCIAL,wuani@acme.com,https://www.sponsorship1.es/,true,project-01,sponsor-01
